"filename", "language", "JavaScript", "XML", "HTML", "Vue.js", "CSS", "JSON", "TypeScript", "SCSS", "comment", "blank", "total"
"d:\20232024\task\pages\Lineage_front\.eslintrc.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\20232024\task\pages\Lineage_front\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\20232024\task\pages\Lineage_front\data_json.json", "JSON", 0, 0, 0, 0, 0, 72, 0, 0, 0, 1, 73
"d:\20232024\task\pages\Lineage_front\load_json.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\20232024\task\pages\Lineage_front\package-lock.json", "JSON", 0, 0, 0, 0, 0, 32185, 0, 0, 0, 1, 32186
"d:\20232024\task\pages\Lineage_front\package.json", "JSON", 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"d:\20232024\task\pages\Lineage_front\public\database.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\public\desktop-active.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\public\desktop.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\public\hive.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\public\index.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 1, 3, 26
"d:\20232024\task\pages\Lineage_front\public\weiban.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\App.vue", "Vue.js", 0, 0, 0, 55, 0, 0, 0, 0, 1, 5, 61
"d:\20232024\task\pages\Lineage_front\src\assets\database-active.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\database-error.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\database.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\desktop-active.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\desktop-error.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\20232024\task\pages\Lineage_front\src\assets\desktop.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
