Date : 2024-04-30 15:58:03
Directory : d:\20232024\task\pages\Lineage_front
Total : 112 files,  46608 codes, 414 comments, 461 blanks, all 47483 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          7 |     34,984 |          0 |          5 |     34,989 |
| Vue.js     |         45 |      6,468 |        162 |        158 |      6,788 |
| JavaScript |         20 |      3,912 |        188 |         74 |      4,174 |
| CSS        |          6 |        844 |         24 |        164 |      1,032 |
| SCSS       |          3 |        337 |         39 |         57 |        433 |
| XML        |         29 |         29 |          0 |          0 |         29 |
| HTML       |          1 |         22 |          1 |          3 |         26 |
| TypeScript |          1 |         12 |          0 |          0 |         12 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        112 |     46,608 |        414 |        461 |     47,483 |
| . (Files)                                                                                          |          6 |     32,356 |          0 |          6 |     32,362 |
| public                                                                                             |          6 |         27 |          1 |          3 |         31 |
| src                                                                                                |        100 |     14,225 |        413 |        452 |     15,090 |
| src (Files)                                                                                        |          2 |         81 |          3 |          5 |         89 |
| src\assets                                                                                         |         28 |        385 |         62 |         59 |        506 |
| src\assets (Files)                                                                                 |         24 |         24 |          0 |          0 |         24 |
| src\assets\js                                                                                      |          1 |         24 |         23 |          2 |         49 |
| src\assets\scss                                                                                    |          3 |        337 |         39 |         57 |        433 |
| src\common                                                                                         |          8 |      4,922 |         53 |          7 |      4,982 |
| src\common\echart                                                                                  |          2 |        551 |          3 |          5 |        559 |
| src\common\map                                                                                     |          6 |      4,371 |         50 |          2 |      4,423 |
| src\components                                                                                     |         19 |      3,172 |         86 |         53 |      3,311 |
| src\components (Files)                                                                             |          1 |         55 |          1 |          3 |         59 |
| src\components\echarts                                                                             |         14 |      1,678 |         38 |         37 |      1,753 |
| src\components\echarts (Files)                                                                     |          3 |        261 |          6 |         11 |        278 |
| src\components\echarts\bottom                                                                      |          4 |        706 |         11 |         13 |        730 |
| src\components\echarts\bottom\bottomLeftChart                                                      |          2 |        280 |          2 |          4 |        286 |
| src\components\echarts\bottom\bottomRightChart                                                     |          2 |        426 |          9 |          9 |        444 |
| src\components\echarts\center                                                                      |          1 |         95 |          2 |          2 |         99 |
| src\components\echarts\centerLeft                                                                  |          4 |        433 |         18 |          8 |        459 |
| src\components\echarts\centerLeft\centerLeft1Chart                                                 |          2 |        104 |          0 |          4 |        108 |
| src\components\echarts\centerLeft\centerLeft2Chart                                                 |          2 |        329 |         18 |          4 |        351 |
| src\components\echarts\centerRight                                                                 |          2 |        183 |          1 |          3 |        187 |
| src\components\echarts\centerRight\centerRightChart                                                |          2 |        183 |          1 |          3 |        187 |
| src\components\echarts\center\centerChartRate                                                      |          1 |         95 |          2 |          2 |         99 |
| src\components\graph6                                                                              |          4 |      1,439 |         47 |         13 |      1,499 |
| src\js                                                                                             |          6 |      1,041 |         72 |         41 |      1,154 |
| src\lib                                                                                            |          1 |          1 |          1 |          1 |          3 |
| src\router                                                                                         |          1 |         73 |         13 |          6 |         92 |
| src\style                                                                                          |          6 |        844 |         24 |        164 |      1,032 |
| src\utils                                                                                          |          4 |        514 |         27 |         20 |        561 |
| src\views                                                                                          |         25 |      3,192 |         72 |         96 |      3,360 |
| src\views (Files)                                                                                  |         16 |      2,333 |         55 |         67 |      2,455 |
| src\views\bigscreen                                                                                |          9 |        859 |         17 |         29 |        905 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\20232024\task\pages\Lineage_front\.eslintrc.js                                                  | JavaScript |         32 |          0 |          1 |         33 |
| d:\20232024\task\pages\Lineage_front\babel.config.js                                               | JavaScript |          5 |          0 |          1 |          6 |
| d:\20232024\task\pages\Lineage_front\data_json.json                                                | JSON       |         72 |          0 |          1 |         73 |
| d:\20232024\task\pages\Lineage_front\load_json.json                                                | JSON       |          0 |          0 |          1 |          1 |
| d:\20232024\task\pages\Lineage_front\package-lock.json                                             | JSON       |     32,185 |          0 |          1 |     32,186 |
| d:\20232024\task\pages\Lineage_front\package.json                                                  | JSON       |         62 |          0 |          1 |         63 |
| d:\20232024\task\pages\Lineage_front\public\database.svg                                           | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\public\desktop-active.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\public\desktop.svg                                            | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\public\hive.svg                                               | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\public\index.html                                             | HTML       |         22 |          1 |          3 |         26 |
| d:\20232024\task\pages\Lineage_front\public\weiban.svg                                             | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\App.vue                                                   | Vue.js     |         55 |          1 |          5 |         61 |
| d:\20232024\task\pages\Lineage_front\src\assets\database-active.svg                                | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\database-error.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\database.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\desktop-active.svg                                 | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\desktop-error.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\desktop.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\fenqu-active.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\hive-active.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\hive-error.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\hive.svg                                           | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\js\china.js                                        | JavaScript |         24 |         23 |          2 |         49 |
| d:\20232024\task\pages\Lineage_front\src\assets\result-active.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\result-error.svg                                   | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\result.svg                                         | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\scss\_variables.scss                               | SCSS       |         79 |         13 |          8 |        100 |
| d:\20232024\task\pages\Lineage_front\src\assets\scss\index.scss                                    | SCSS       |        119 |         12 |         16 |        147 |
| d:\20232024\task\pages\Lineage_front\src\assets\scss\style.scss                                    | SCSS       |        139 |         14 |         33 |        186 |
| d:\20232024\task\pages\Lineage_front\src\assets\sql-active.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\sql-error.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\sql.svg                                            | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\tool-active.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\upload-active.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\user-active.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\20232024\task\pages\Lineage_front\src\assets\user-error.svg                                     | XML        |          1 |          0 |          0 |          1 |
