"filename", "language", "Vue.js", "JavaScript", "JSON", "HTML", "XML", "comment", "blank", "total"
"d:\20232024\task\pages\Lineage_front\.eslintrc.js", "JavaScript", 0, -32, 0, 0, 0, 0, -1, -33
"d:\20232024\task\pages\Lineage_front\babel.config.js", "JavaScript", 0, -5, 0, 0, 0, 0, -1, -6
"d:\20232024\task\pages\Lineage_front\data_json.json", "JSON", 0, 0, -72, 0, 0, 0, -1, -73
"d:\20232024\task\pages\Lineage_front\load_json.json", "JSON", 0, 0, 0, 0, 0, 0, -1, -1
"d:\20232024\task\pages\Lineage_front\package-lock.json", "JSON", 0, 0, -32185, 0, 0, 0, -1, -32186
"d:\20232024\task\pages\Lineage_front\package.json", "JSON", 0, 0, -62, 0, 0, 0, -1, -63
"d:\20232024\task\pages\Lineage_front\public\database.svg", "XML", 0, 0, 0, 0, -1, 0, 0, -1
"d:\20232024\task\pages\Lineage_front\public\desktop-active.svg", "XML", 0, 0, 0, 0, -1, 0, 0, -1
"d:\20232024\task\pages\Lineage_front\public\desktop.svg", "XML", 0, 0, 0, 0, -1, 0, 0, -1
"d:\20232024\task\pages\Lineage_front\public\hive.svg", "XML", 0, 0, 0, 0, -1, 0, 0, -1
"d:\20232024\task\pages\Lineage_front\public\index.html", "HTML", 0, 0, 0, -22, 0, -1, -3, -26
"d:\20232024\task\pages\Lineage_front\public\weiban.svg", "XML", 0, 0, 0, 0, -1, 0, 0, -1
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft1Chart\index.vue", "Vue.js", -1, 0, 0, 0, 0, 0, 0, -1
"d:\20232024\task\pages\Lineage_front\src\components\graph6\gongxiang.vue", "Vue.js", -198, 0, 0, 0, 0, 0, 0, -198
"d:\20232024\task\pages\Lineage_front\src\components\graph6\guiji.vue", "Vue.js", -60, 0, 0, 0, 0, -4, 0, -64
"d:\20232024\task\pages\Lineage_front\src\components\graph6\linkTree.vue", "Vue.js", 461, 0, 0, 0, 0, 37, 12, 510
"d:\20232024\task\pages\Lineage_front\src\components\graph6\mainTree.vue", "Vue.js", -7, 0, 0, 0, 0, 20, 0, 13
"d:\20232024\task\pages\Lineage_front\src\components\provenance\event.vue", "Vue.js", 422, 0, 0, 0, 0, 25, 8, 455
"d:\20232024\task\pages\Lineage_front\src\router\index.js", "JavaScript", 0, 9, 0, 0, 0, 1, 0, 10
"d:\20232024\task\pages\Lineage_front\src\views\Alarm.vue", "Vue.js", 0, 0, 0, 0, 0, 0, -1, -1
"d:\20232024\task\pages\Lineage_front\src\views\Layout.vue", "Vue.js", -18, 0, 0, 0, 0, 18, 0, 0
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\bottom.vue", "Vue.js", 5, 0, 0, 0, 0, 23, 0, 28
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\center.vue", "Vue.js", -140, 0, 0, 0, 0, 3, 1, -136
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerLeft1.vue", "Vue.js", 14, 0, 0, 0, 0, 2, 1, 17
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerRight1.vue", "Vue.js", -31, 0, 0, 0, 0, 1, 2, -28
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\mainFlowCharts.vue", "Vue.js", 0, 0, 0, 0, 0, 1, 0, 1
"d:\20232024\task\pages\Lineage_front\src\views\general.vue", "Vue.js", 261, 0, 0, 0, 0, 2, 5, 268
"d:\20232024\task\pages\Lineage_front\src\views\index.vue", "Vue.js", 170, 0, 0, 0, 0, 19, -3, 186
"d:\20232024\task\pages\Lineage_front\src\views\mainJobs.vue", "Vue.js", 410, 0, 0, 0, 0, 0, 6, 416
"d:\20232024\task\pages\Lineage_front\src\views\map.vue", "Vue.js", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1289, -28, -32319, -22, -5, 147, 22, -30916
